1,0.89,0.00,0.00,0.11,0.00
2,0.27,0.00,0.41,0.32,0.00
3,0.22,0.22,0.22,0.22,0.12
4,0.00,0.04,0.00,0.96,0.00
5,0.22,0.22,0.22,0.22,0.12
6,0.79,0.05,0.00,0.16,0.00
7,0.22,0.22,0.22,0.22,0.12
8,0.89,0.11,0.00,0.00,0.00
9,0.97,0.00,0.00,0.03,0.00
10,0.27,0.00,0.36,0.37,0.00
11,0.34,0.00,0.35,0.31,0.00
12,0.79,0.05,0.00,0.16,0.00
13,0.27,0.00,0.41,0.32,0.00
14,0.00,1.00,0.00,0.00,0.00
15,0.34,0.00,0.39,0.27,0.00
16,1.00,0.00,0.00,0.00,0.00
17,1.00,0.00,0.00,0.00,0.00
18,0.00,0.15,0.40,0.00,0.45
19,0.18,0.00,0.54,0.29,0.00
20,0.47,0.53,0.00,0.00,0.00
21,0.00,0.00,0.68,0.32,0.00
22,0.00,1.00,0.00,0.00,0.00
23,0.22,0.22,0.22,0.22,0.12
24,0.22,0.22,0.22,0.22,0.12
25,0.00,1.00,0.00,0.00,0.00
26,0.00,0.00,0.00,0.00,0.00
27,0.98,0.00,0.00,0.02,0.00
28,0.29,0.08,0.25,0.32,0.05
29,0.00,0.74,0.00,0.06,0.21
30,0.29,0.08,0.25,0.32,0.05
31,0.00,1.00,0.00,0.00,0.00
32,0.00,0.91,0.00,0.02,0.07
33,0.32,0.12,0.24,0.21,0.12
34,0.86,0.02,0.00,0.12,0.00
35,0.80,0.00,0.00,0.20,0.00
36,0.29,0.08,0.25,0.32,0.05
37,0.19,0.06,0.37,0.25,0.14
38,0.00,0.98,0.00,0.00,0.02
39,0.81,0.01,0.00,0.18,0.00
40,0.00,0.72,0.00,0.00,0.28
41,0.32,0.12,0.24,0.21,0.12
42,0.22,0.22,0.22,0.22,0.12
43,1.00,0.00,0.00,0.00,0.00
44,0.79,0.00,0.00,0.21,0.00
45,0.79,0.05,0.00,0.16,0.00
46,0.81,0.01,0.00,0.18,0.00
47,0.81,0.01,0.00,0.18,0.00
48,0.00,1.00,0.00,0.00,0.00
49,0.00,1.00,0.00,0.00,0.00
50,0.32,0.12,0.24,0.21,0.12
51,0.00,0.00,0.00,0.00,0.00
52,0.22,0.22,0.22,0.22,0.12
53,0.00,1.00,0.00,0.00,0.00
54,0.41,0.06,0.24,0.19,0.10
55,1.00,0.00,0.00,0.00,0.00
56,0.22,0.22,0.22,0.22,0.12
57,0.00,1.00,0.00,0.00,0.00
58,0.00,1.00,0.00,0.00,0.00
59,1.00,0.00,0.00,0.00,0.00
60,0.22,0.22,0.22,0.22,0.12
61,0.00,0.35,0.15,0.00,0.50
62,0.00,1.00,0.00,0.00,0.00
63,0.17,0.83,0.00,0.00,0.00
64,0.00,0.00,0.65,0.35,0.00
65,0.00,0.00,0.00,0.00,0.00
66,0.15,0.68,0.00,0.00,0.17
67,1.00,0.00,0.00,0.00,0.00
68,0.14,0.00,0.66,0.20,0.00
69,0.00,0.00,0.00,0.00,0.00
70,0.22,0.22,0.22,0.22,0.12
71,0.00,1.00,0.00,0.00,0.00
72,0.00,1.00,0.00,0.00,0.00
73,0.00,0.00,0.00,0.00,0.00
74,0.28,0.62,0.00,0.00,0.09
75,0.09,0.45,0.28,0.11,0.07
76,1.00,0.00,0.00,0.00,0.00
77,0.00,0.00,0.68,0.32,0.00
78,0.00,0.00,0.00,0.00,0.00
79,0.00,0.94,0.00,0.00,0.06
80,0.22,0.22,0.22,0.22,0.12
81,0.86,0.00,0.00,0.14,0.00
82,0.89,0.00,0.00,0.11,0.00
83,0.00,1.00,0.00,0.00,0.00
84,0.18,0.08,0.32,0.15,0.27
85,0.22,0.22,0.22,0.22,0.12
86,1.00,0.00,0.00,0.00,0.00
87,0.98,0.02,0.00,0.00,0.00
88,0.00,1.00,0.00,0.00,0.00
89,1.00,0.00,0.00,0.00,0.00
90,0.81,0.01,0.00,0.18,0.00
91,0.34,0.00,0.35,0.31,0.00
92,0.15,0.68,0.00,0.00,0.17
93,0.79,0.05,0.00,0.16,0.00
94,0.00,1.00,0.00,0.00,0.00
95,0.00,1.00,0.00,0.00,0.00
96,0.35,0.00,0.30,0.35,0.00
97,0.98,0.00,0.00,0.02,0.00
98,1.00,0.00,0.00,0.00,0.00
99,1.00,0.00,0.00,0.00,0.00
100,0.24,0.00,0.48,0.29,0.00
101,1.00,0.00,0.00,0.00,0.00
102,1.00,0.00,0.00,0.00,0.00
103,0.98,0.00,0.00,0.02,0.00
104,0.00,1.00,0.00,0.00,0.00
105,0.81,0.01,0.00,0.18,0.00
106,1.00,0.00,0.00,0.00,0.00
107,0.00,1.00,0.00,0.00,0.00
108,1.00,0.00,0.00,0.00,0.00
109,0.15,0.68,0.00,0.00,0.17
110,0.22,0.22,0.22,0.22,0.12
111,0.32,0.12,0.24,0.21,0.12
112,0.00,0.00,0.64,0.36,0.00
113,0.98,0.00,0.00,0.02,0.00
114,0.00,1.00,0.00,0.00,0.00
115,0.04,0.90,0.00,0.00,0.06
